College Name,Location,College Type,Facilities,Rating
"Abasaheb Shivajirao Sitaram Patil Institute of Polytechnic, Jalgaon","Jalgaon, Maharashtra",Private,"Library, Laboratories, I.T Infrastructure, Sports, Auditorium, Gym, Cafeteria, Medical/Hospital, Parking Facility",N/A
"Abbnoor Polytechnic College, Faridkot","Faridkot, Punjab",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Medical/Hospital, Guest Room/Waiting Room",N/A
"Abdulkalam Institute of Technological Sciences, Khammam","Bhadradri Kothagudem, Telangana",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Alumni Associations, Guest Room/Waiting Room",3.4/5
"ABES Engineering College, Ghaziabad","Ghaziabad, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Sports, Library",4.1/5
"ABESIT Ghaziabad - ABES Institute of Technology, Ghaziabad","Ghaziabad, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories, Guest Room/Waiting Room, Classrooms, Club, Training and Placement Cell",3.8/5
"Abha Gaikwad-Patil College of Engineering, Nagpur","Nagpur, Maharashtra",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Laboratories, Wifi, Convenience Store, Parking Facility, Training and Placement Cell, Classrooms",N/A
"Abhayapuri College, Bongaigaon","Bongaigaon, Assam",Public/Govt,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Medical/Hospital",N/A
"Abhay Memorial Trust Group of Institutions, Allahabad","Allahabad, Uttar Pradesh",Private,"Library, Laboratories, I.T Infrastructure, Cafeteria, Transport Facility, Classrooms, Alumni Associations, Medical/Hospital, Sports, Parking Facility",N/A
"Abhaysinhraje Bhonsle Institute of Technology, Satara","Satara, Maharashtra",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Laboratories, Cafeteria, Classrooms, Training and Placement Cell, Smart Classrooms",N/A
"Abhedananda Mahavidyalaya, Birbhum","Sainthia, West Bengal",Private,"Boys Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Laboratories, Gym, Guest Room/Waiting Room, Alumni Associations, Parking Facility, Wifi, Auditorium, Cafeteria, Extra Curricular Activities",N/A
"Abhilashi Group of Institutions School of Pharmacy and Engineering and Technology, Mandi","Shimla, Himachal Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Cafeteria, Transport Facility, Banks/ATMs, Auditorium, Training and Placement Cell, Workshops",N/A
"Abhilashi University, Mandi","Chail-Chowk, Himachal Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Banks/ATMs, Convenience Store, Auditorium, Wifi, Transport Facility, Parking Facility",4.0/5
"Abhinav Education Society's College of Engineering and Technology Polytechnic, Satara","Satara, Maharashtra",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Laboratories, Banks/ATMs, Gym, Guest Room/Waiting Room, Medical/Hospital, Training and Placement Cell",N/A
"Abhinav Education Society's College of Engineering and Technology, Wadwadi","Satara, Maharashtra",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Workshops, Extra Curricular Activities, Training and Placement Cell, Smart Classrooms",4.0/5
"Abhinav Hi-Tech College of Engineering, Hyderabad","Hyderabad, Telangana",Private,"Laboratories, Library, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Sports, Guest Room/Waiting Room, Transport Facility, Alumni Associations",3.5/5
"Abhishek Polytechnic College, Abohar","Abohar, Punjab",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Transport Facility, Laboratories, Cafeteria, Parking Facility, Training and Placement Cell",N/A
"Abhyudaya Mahila Degree College, Guntur","Guntur, Andhra Pradesh",Private,"Library, Laboratories, Auditorium, I.T Infrastructure, Medical/Hospital, Sports, Training and Placement Cell",4.0/5
"Abhyuday University, Khargone","Khargone, Madhya Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Moot Court, Cafeteria",N/A
"ABI and ABI College Arts, Science and Technology, Thanjavur","Thanjavur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Sports, Auditorium, Club, Extra Curricular Activities, Training and Placement Cell",N/A
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune","Pune, Maharashtra",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Sports, Auditorium, Gym, Swimming Pool, Wifi, Laboratories, Parking Facility, Medical/Hospital, Alumni Associations, Cafeteria, Club, Training and Placement Cell, Guest Room/Waiting Room, Workshops, Extra Curricular Activities, Smart Classrooms, Classrooms",5.0/5
"Abohar Polytechnic College, Abohar","Abohar, Punjab",Private,"Library, Laboratories, Sports, I.T Infrastructure, Cafeteria, Medical/Hospital, Classrooms, Auditorium, Extra Curricular Activities",N/A
"ABR College of Engineering and Technology, Prakasam","Prakasam, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, I.T Infrastructure, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Gym, Sports, Guest Room/Waiting Room",N/A
"ABS Academy of Polytechnic, Durgapur","Durgapur, West Bengal",Private,"Library, Laboratories, Boys Hostel, Girls Hostel, I.T Infrastructure, Cafeteria, Classrooms, Sports, Training and Placement Cell, Gym, Auditorium, Guest Room/Waiting Room, Medical/Hospital",N/A
"ABSS Institute of Technology, Meerut","Meerut, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Medical/Hospital, Gym, Guest Room/Waiting Room",0.5/5
"Abu Road Polytechnic College, Abu Road","Abu Road, Rajasthan",Private,"Library, Laboratories, Sports, I.T Infrastructure, Auditorium, Medical/Hospital, Gym, Cafeteria, Guest Room/Waiting Room, Girls Hostel, Boys Hostel, Wifi, Training and Placement Cell",5.0/5
"Academy of Applied Art, Delhi","New Delhi, Delhi",Private,"Library, Laboratories, Sports, I.T Infrastructure",N/A
"AMET University Kanathur - Academy of Maritime Education and Training, Kanathur","Chennai, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Wifi, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Swimming Pool, Gym, Alumni Associations, Banks/ATMs, Sports, Transport Facility",3.6/5
AcSIR Chennai - Academy of Scientific and Innovative Research Chennai,"Chennai, Tamil Nadu",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Auditorium, Alumni Associations",4.8/5
"AcSIR Ghaziabad - Academy of Scientific and Innovative Research, Ghaziabad","Ghaziabad, Uttar Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Library, Laboratories, Auditorium, I.T Infrastructure, Sports",4.7/5
"AOT Hooghly - Academy of Technology, Hooghly","Hooghly, West Bengal",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Banks/ATMs",4.1/5
"Accurate Institute of Architecture and Planning, Greater Noida","Greater Noida, Uttar Pradesh",Private,"Library, I.T Infrastructure, Laboratories, Transport Facility, Boys Hostel, Girls Hostel, Auditorium, Medical/Hospital, Cafeteria, Sports, Gym, Classrooms, Alumni Associations, Workshops, Girls Hostel",N/A
"Accurate Institute of Management and Technology, Greater Noida (AIMT Greater Noida) - Accurate Institute of Management and Technology, Greater Noida","Greater Noida, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi, Laboratories, Parking Facility, Classrooms, Alumni Associations, Transport Facility, Training and Placement Cell, Workshops",3.4/5
"Accurate Institute of Polytechnic, Greater Noida","Greater Noida, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Laboratories, I.T Infrastructure, Library, Cafeteria, Alumni Associations, Sports, Medical/Hospital, Training and Placement Cell",5.0/5
"ACE College of Engineering and Management, Agra","Agra, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Alumni Associations, Laboratories",3.0/5
"ACE College of Engineering, Thiruvananthapuram","Thiruvananthapuram, Kerala",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Medical/Hospital",4.6/5
"ACE Engineering College, Ghatkesar","Ghatkesar, Telangana",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Alumni Associations, Auditorium, Medical/Hospital, Wifi, Guest Room/Waiting Room, Gym",3.8/5
"ACET Pondicherry - Achariya College of Engineering Technology, Puducherry","Puducherry, Puducherry",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Auditorium, Transport Facility, Wifi, Swimming Pool, Guest Room/Waiting Room, Laboratories, Cafeteria, Alumni Associations, Club, Workshops, Extra Curricular Activities, Training and Placement Cell, Smart Classrooms",3.3/5
"Acharya Baldev Polytechnic College, Jaunpur","Jaunpur, Uttar Pradesh",Private,"Library, Classrooms, Auditorium, Laboratories",N/A
"Acharya College of Engineering, Badvel","Kadapa, Andhra Pradesh",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Wifi, Boys Hostel, Girls Hostel",5.0/5
"AIGS Bangalore - Acharya Institute of Graduate Studies, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Guest Room/Waiting Room, Gym, Medical/Hospital, Wifi, Laboratories, Transport Facility",4.3/5
"Acharya Institute of Technology, Bangalore (AIT Bangalore ) - Acharya Institute of Technology, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories",3.8/5
"Acharya Jagadish Chandra Bose Polytechnic, North 24 Parganas","North 24 Parganas, West Bengal",Public/Govt,"Library, Cafeteria, Girls Hostel, Sports, I.T Infrastructure, Laboratories, Classrooms, Training and Placement Cell, Smart Classrooms, Auditorium, Medical/Hospital",N/A
"Acharya Nagarjuna University College of Architecture and Planning, Nagarjuna Nagar","Guntur, Andhra Pradesh",Public/Govt,"Library, I.T Infrastructure, Sports, Laboratories",3.5/5
"ANU Guntur - Acharya Nagarjuna University, Guntur","Guntur, Andhra Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, I.T Infrastructure, Wifi, Sports, Library, Transport Facility, Auditorium, Laboratories, Medical/Hospital, Banks/ATMs",4.8/5
"Acharya Narendra Deva University of Agriculture and Technology, Faizabad","Kumarganj, Uttar Pradesh",Public/Govt,"Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Alumni Associations, Training and Placement Cell",3.9/5
"Acharya Narendra Dev College, New Delhi","New Delhi, Delhi",Public/Govt,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Classrooms, Convenience Store",4.0/5
"Acharya Patashala Polytechnic, Bangalore","Bangalore, Karnataka",Private,"Library, Girls Hostel, Boys Hostel, Cafeteria, Sports, Transport Facility, Auditorium, Laboratories, I.T Infrastructure, Classrooms, Training and Placement Cell, Extra Curricular Activities, Workshops, Alumni Associations",N/A
"Acharya Polytechnic, Bangalore","Bangalore, Karnataka",Private,"Library, Sports, Laboratories, Cafeteria, Wifi, I.T Infrastructure, Boys Hostel, Girls Hostel, Gym, Medical/Hospital, Auditorium, Guest Room/Waiting Room, Club, Extra Curricular Activities, Training and Placement Cell",3.5/5
"Acharya Polytechnic College, Salem","Salem, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Auditorium, Medical/Hospital, I.T Infrastructure, Sports, Classrooms, Guest Room/Waiting Room",N/A
"APC College Kolkata - Acharya Prafulla Chandra College, Kolkata","Kolkata, West Bengal",Private,"Boys Hostel, Girls Hostel, Wifi, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Alumni Associations",4.4/5
"Acharya Prafulla Chandra Ray Polytechnic, Kolkata","Kolkata, West Bengal",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Medical/Hospital, Cafeteria, Classrooms, Smart Classrooms, Training and Placement Cell",N/A
"Acharya School of Design, Bangalore","Bangalore, Karnataka",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Wifi, Auditorium, Laboratories, Medical/Hospital, Gym, Guest Room/Waiting Room, Parking Facility, Boys Hostel, Girls Hostel",N/A
"Acharya Shri Chander Technical Institute, Jammu","Jammu, Jammu and Kashmir",Private,"Library, I.T Infrastructure, Laboratories",N/A
"Acharya Shrimannarayan Polytechnic, Wardha","Wardha, Maharashtra",Private,"Library, Laboratories, I.T Infrastructure, Alumni Associations, Medical/Hospital, Gym, Guest Room/Waiting Room, Cafeteria, Sports, Auditorium, Training and Placement Cell",N/A
"Acharya's NRV School of Architecture, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Wifi, I.T Infrastructure, Transport Facility, Laboratories, Auditorium, Medical/Hospital, Gym, Guest Room/Waiting Room, Training and Placement Cell, Classrooms",N/A
"Acharya Vinoba Bhave Institute of Technology, Wardha","Pavnar, Maharashtra",Private,"Library, I.T Infrastructure, Laboratories",N/A
"Achutha Institute of Technology, Chikkaballapur","Chikkaballapur, Karnataka",Private,"Boys Hostel, Girls Hostel, Gym, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Wifi, Parking Facility",0.5/5
"AC Kunhimon Haji Memorial ICA College, Thozhiyoor","Thrissur, Kerala",Private,"Sports, Library, I.T Infrastructure, Laboratories, Transport Facility, Cafeteria, Boys Hostel, Girls Hostel",N/A
"ACME College of Engineering, Ghaziabad","Ghaziabad, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Cafeteria",N/A
"ACN College of Engineering and Management Studies, Aligarh","Aligarh, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Convenience Store, Banks/ATMs, Guest Room/Waiting Room",4.0/5
"ACN College of Polytechnic, Aligarh","Aligarh, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Transport Facility, Wifi, Laboratories, Auditorium, Cafeteria, Guest Room/Waiting Room",3.7/5
"AC Patil College of Engineering, Navi Mumbai","Navi Mumbai, Maharashtra",Private,"Library, I.T Infrastructure, Alumni Associations, Wifi, Laboratories, Auditorium, Cafeteria, Medical/Hospital, Sports, Gym",4.0/5
"Acropolis Institute of Technology and Research, Bhopal","Bhopal, Madhya Pradesh",Private,"Library, I.T Infrastructure, Sports, Auditorium, Laboratories, Alumni Associations, Wifi, Cafeteria, Medical/Hospital, Boys Hostel, Girls Hostel, Classrooms",4.0/5
"AITR Indore - Acropolis Institute of Technology and Research, Indore","Indore, Madhya Pradesh",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Guest Room/Waiting Room, Gym, Laboratories, Alumni Associations, Club, Training and Placement Cell, Classrooms, Workshops, Extra Curricular Activities",4.2/5
"ACSCE Bangalore - ACS College of Engineering, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Swimming Pool, Laboratories, Banks/ATMs, Guest Room/Waiting Room, Parking Facility, Smart Classrooms, Club, Workshops, Extra Curricular Activities, Training and Placement Cell, Classrooms",3.2/5
"ACT College of Engineering and Technology, Kancheepuram","Kancheepuram, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Wifi, Guest Room/Waiting Room, Convenience Store",N/A
"Adaikalamatha College, Thanjavur","Thanjavur, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Sports, Library, Auditorium, I.T Infrastructure, Transport Facility, Alumni Associations, Cafeteria, Guest Room/Waiting Room, Gym, Medical/Hospital, Laboratories, Parking Facility, Training and Placement Cell, Club, Extra Curricular Activities",N/A
"Adamas Institute of Technology, North 24 Parganas","Kolkata, West Bengal",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Alumni Associations, Transport Facility, Parking Facility, Wifi",2.4/5
"Adamas University, Kolkata","Kolkata, West Bengal",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Wifi, Laboratories, Banks/ATMs, Boys Hostel, Girls Hostel",4.1/5
"Adam's Engineering College, Khammam","Khammam, Telangana",Private,"Library, Laboratories, I.T Infrastructure, Sports, Cafeteria",3.9/5
"Adani Institute of Infrastructure Engineering, Ahmedabad","Ahmedabad, Gujarat",Private,"Library, I.T Infrastructure, Laboratories, Auditorium, Cafeteria, Sports, Medical/Hospital, Classrooms, Wifi",4.6/5
"ACE Angul - Adarsha College of Engineering, Angul","Angul, Odisha",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Guest Room/Waiting Room, Wifi, Classrooms",N/A
"Adarsha Institute of Technology and Management, Angul","Angul, Odisha",Private,N/A,N/A
"Adarsha School of Engineering and International Polytechnic, Angul","Angul, Odisha",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Medical/Hospital, Gym, Guest Room/Waiting Room",5.0/5
"Adarsha Science Jairamdas Bhagchand Arts and Birla Commerce Mahavidyalaya, Amravati","Amravati, Maharashtra",Private,"Boys Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi, Laboratories",N/A
"Adarsh College of Engineering, Kakinada","East Godavari, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Guest Room/Waiting Room",3.7/5
"Adarsh Degree College, Visakhapatnam","Visakhapatnam, Andhra Pradesh",Private,"Sports, Auditorium, Library, Laboratories, Medical/Hospital, Gym, I.T Infrastructure, Cafeteria",N/A
"Adarsh Institute of Technology and Research Center, Vita","Sangli, Maharashtra",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Guest Room/Waiting Room, Banks/ATMs, Wifi",4.5/5
"Adarsh Institute of Technology, Vita","Vita, Maharashtra",Private,"Library, Boys Hostel, Girls Hostel, I.T Infrastructure, Transport Facility, Gym, Banks/ATMs, Sports, Wifi, Auditorium, Laboratories, Guest Room/Waiting Room, Medical/Hospital, Cafeteria",N/A
"Adarsh Polytechnic College, Patiala","Samana, Punjab",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories",N/A
"Adarsh Polytechnic, Dhule","Dhule, Maharashtra",Private,"Library, I.T Infrastructure, Transport Facility, Wifi",N/A
"Adarsh Polytechnic, Ghazipur","Ghazipur, Uttar Pradesh",Private,"Library, I.T Infrastructure, Laboratories, Medical/Hospital, Boys Hostel, Girls Hostel, Sports, Parking Facility, Auditorium, Cafeteria",N/A
"Adarsh Polytechnic, Jind","Jind, Haryana",Private,"Boys Hostel, Library, Sports, I.T Infrastructure, Transport Facility, Laboratories, Classrooms",N/A
"Adarsh Shikshan Prasarak Mandal's KT Patil College of Engineering and Technology, Osmanabad","Osmanabad, Maharashtra",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Sports, Auditorium, Laboratories, Cafeteria, Classrooms",N/A
"Adesh Institute of Engineering and Technology, Faridkot","Faridkot, Punjab",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Guest Room/Waiting Room",2.0/5
"Adesh Institute of Technology, Gharuan","Gharuan, Punjab",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Cafeteria, Auditorium, Sports, Laboratories, Gym, Guest Room/Waiting Room",1.6/5
"Adesh Polytechnic College, Sri Muktsar Sahib","Marh Mallu, Punjab",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Gym, Guest Room/Waiting Room, Training and Placement Cell, Parking Facility, Sports",N/A
"Adhi College of Engineering and Technology, Kancheepuram","Kancheepuram, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Convenience Store, Guest Room/Waiting Room, Wifi, Alumni Associations, Wifi, Alumni Associations",4.5/5
"Adhiparasakthi College of Arts and Science, Vellore","Vellore, Tamil Nadu",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Guest Room/Waiting Room, Boys Hostel, Girls Hostel",3.5/5
"Adhiparasakthi College of Engineering, Vellore","Vellore, Tamil Nadu",Private,"Boys Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Guest Room/Waiting Room, Girls Hostel, Banks/ATMs, Alumni Associations, Training and Placement Cell, Workshops, Extra Curricular Activities, Smart Classrooms, Classrooms",4.0/5
"Adhiparasakthi Engineering College, Kancheepuram","Kancheepuram, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Wifi, Laboratories, Banks/ATMs, Auditorium",3.3/5
